id;Nome_Munic;exp.vida;idhm;idhm.edu;freq.5a6;freq.11a13.fundamental.final;freq.18a20.medio.completo;freq.15a17.fundamental.completo;escolaridade;renda
3100104;Abadia dos Dourados;75,35;0,689;0,563;74,76;85,82;42,96;65,5;39,36;596,18
3100203;Abaeté;75,9;0,698;0,556;95,99;89,89;39,16;50,38;36,32;707,24
3100302;Abre Campo;74,36;0,654;0,525;86,15;92,5;36,63;55,2;31,69;444,32
3100401;Acaiaca;74,36;0,63;0,499;100;77,98;19,41;43,92;34,16;357,03
3100500;Açucena;75,66;0,61;0,451;66,14;89,33;22,21;55,24;27,12;325,42
3100609;Água Boa;72,94;0,576;0,403;70,11;75,75;22,78;36,92;24,73;322,12
3100708;Água Comprida;76,58;0,675;0,498;96,92;77,92;25,71;46,18;32,37;701,19
3100807;Aguanil;75,7;0,663;0,513;83,99;92,74;19,7;58,92;33,23;524,43
3100906;Águas Formosas;73,63;0,645;0,531;77,57;91,57;31,99;53,99;36,82;389,57
3101003;Águas Vermelhas;73,46;0,601;0,458;88,43;80,68;21,25;44,95;27,75;306,97
3101102;Aimorés;73,58;0,684;0,576;90,39;86,38;35,51;60,74;40,89;567,46
3101201;Aiuruoca;77,23;0,668;0,505;91,14;82,36;32,54;47,05;32,19;539,92
3101300;Alagoa;74,93;0,649;0,518;87,01;91,34;34,31;63,34;29,19;413,75
3101409;Albertina;73,76;0,673;0,549;98,16;79,24;41,7;56,04;34,92;564,08
3101508;Além Paraíba;76,43;0,726;0,626;98,77;77,34;39,12;60,21;51,65;674,5
3101607;Alfenas;75,45;0,761;0,712;98,85;92,35;55,96;71,69;56,77;783,41
3101631;Alfredo Vasconcelos;75,01;0,675;0,587;97,67;82,54;41,77;65,02;39,25;400,14
3101706;Almenara;73,18;0,642;0,518;87,87;82,65;25,45;49,35;36,95;419,98
3101805;Alpercata;74,43;0,646;0,521;92,4;87,07;26,85;45,91;35,51;401,21
3101904;Alpinópolis;76,71;0,725;0,629;97,05;90,06;42,16;71,8;43,75;633,91
