UF,Nome_UF,Meso,Nome_Meso,Micro,Nome_Micro,ID_Munic,Nome_Munic
31,Minas Gerais,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,3100104,Abadia dos Dourados
31,Minas Gerais,3106,Central Mineira,31024,Três Marias,3100203,Abaeté
31,Minas Gerais,3112,Zona da Mata,31061,Manhuaçu,3100302,Abre Campo
31,Minas Gerais,3112,Zona da Mata,31060,Ponte Nova,3100401,Acaiaca
31,Minas Gerais,3108,Vale do Rio Doce,31039,Ipatinga,3100500,Açucena
31,Minas Gerais,3108,Vale do Rio Doce,31036,Peçanha,3100609,Água Boa
31,Minas Gerais,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,3100708,Água Comprida
31,Minas Gerais,3109,Oeste de Minas,31045,Campo Belo,3100807,Aguanil
31,Minas Gerais,3104,Vale do Mucuri,31016,Nanuque,3100906,Águas Formosas
31,Minas Gerais,3102,Norte de Minas,31005,Salinas,3101003,Águas Vermelhas
31,Minas Gerais,3108,Vale do Rio Doce,31041,Aimorés,3101102,Aimorés
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31055,Andrelândia,3101201,Aiuruoca
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31054,São Lourenço,3101300,Alagoa
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,3101409,Albertina
31,Minas Gerais,3112,Zona da Mata,31066,Cataguases,3101508,Além Paraíba
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31049,Alfenas,3101607,Alfenas
31,Minas Gerais,3111,Campo das Vertentes,31059,Barbacena,3101631,Alfredo Vasconcelos
31,Minas Gerais,3103,Jequitinhonha,31014,Almenara,3101706,Almenara
31,Minas Gerais,3108,Vale do Rio Doce,31037,Governador Valadares,3101805,Alpercata
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31047,Passos,3101904,Alpinópolis
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31049,Alfenas,3102001,Alterosa
31,Minas Gerais,3112,Zona da Mata,31061,Manhuaçu,3102050,Alto Caparaó
31,Minas Gerais,3112,Zona da Mata,31062,Viçosa,3102100,Alto Rio Doce
31,Minas Gerais,3108,Vale do Rio Doce,31041,Aimorés,3102209,Alvarenga
31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31031,Itabira,3102308,Alvinópolis
31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31028,Conceição do Mato Dentro,3102407,Alvorada de Minas
31,Minas Gerais,3112,Zona da Mata,31062,Viçosa,3102506,Amparo do Serra
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,3102605,Andradas
31,Minas Gerais,3103,Jequitinhonha,31013,Pedra Azul,3102704,Cachoeira de Pajeú
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31055,Andrelândia,3102803,Andrelândia
31,Minas Gerais,3103,Jequitinhonha,31011,Capelinha,3102852,Angelândia
31,Minas Gerais,3111,Campo das Vertentes,31059,Barbacena,3102902,Antônio Carlos
31,Minas Gerais,3108,Vale do Rio Doce,31039,Ipatinga,3103009,Antônio Dias
31,Minas Gerais,3112,Zona da Mata,31063,Muriaé,3103108,Antônio Prado de Minas
31,Minas Gerais,3107,Metropolitana de Belo Horizonte,31027,Sete Lagoas,3103207,Araçaí
31,Minas Gerais,3112,Zona da Mata,31065,Juiz de Fora,3103306,Aracitaba
31,Minas Gerais,3103,Jequitinhonha,31012,Araçuaí,3103405,Araçuaí
31,Minas Gerais,3105,Triângulo Mineiro/Alto Paranaíba,31018,Uberlândia,3103504,Araguari
31,Minas Gerais,3110,Sul/Sudoeste de Minas,31055,Andrelândia,3103603,Arantina
31,Minas Gerais,3112,Zona da Mata,31062,Viçosa,3103702,Araponga
31,Minas Gerais,3105,Triângulo Mineiro/Alto Paranaíba,31018,Uberlândia,3103751,Araporã
31,Minas Gerais,3105,Triângulo Mineiro/Alto Paranaíba,31020,Patos de Minas,3103801,Arapuá
31,Minas Gerais,3106,Central Mineira,31026,Bom Despacho,3103900,Araújos
31,Minas Gerais,3105,Triângulo Mineiro/Alto Paranaíba,31023,Araxá,3104007,Araxá
